d1_idx,d1_date,year,reached_day2,true_breakdown,index_key,index_name,ma_window
5275,2025-09-18,2025,True,True,sse,上证指数,20
5290,2025-10-17,2025,True,False,sse,上证指数,20
5311,2025-11-17,2025,True,True,sse,上证指数,20
5364,2026-02-02,2026,True,True,sse,上证指数,20
5373,2026-02-13,2026,False,False,sse,上证指数,20
5380,2026-03-04,2026,True,False,sse,上证指数,20
5383,2026-03-09,2026,False,False,sse,上证指数,20
5387,2026-03-13,2026,True,True,sse,上证指数,20
5432,2026-05-21,2026,True,False,sse,上证指数,20
5435,2026-05-26,2026,True,True,sse,上证指数,20
5457,2026-06-26,2026,False,False,sse,上证指数,20
5461,2026-07-02,2026,True,True,sse,上证指数,20
286,2005-03-15,2005,True,True,sse,上证指数,25
347,2005-06-15,2005,False,False,sse,上证指数,25
358,2005-06-30,2005,True,True,sse,上证指数,25
418,2005-09-22,2005,True,True,sse,上证指数,25
461,2005-11-29,2005,True,True,sse,上证指数,25
522,2006-03-07,2006,True,True,sse,上证指数,25
583,2006-06-07,2006,True,True,sse,上证指数,25
613,2006-07-19,2006,True,True,sse,上证指数,25
747,2007-02-02,2007,True,True,sse,上证指数,25
759,2007-02-27,2007,False,False,sse,上证指数,25
761,2007-03-01,2007,True,True,sse,上证指数,25
822,2007-06-01,2007,True,True,sse,上证指数,25
838,2007-06-25,2007,True,False,sse,上证指数,25
841,2007-06-28,2007,True,True,sse,上证指数,25
921,2007-10-25,2007,True,False,sse,上证指数,25
928,2007-11-05,2007,True,True,sse,上证指数,25
979,2008-01-17,2008,True,True,sse,上证指数,25
1059,2008-05-20,2008,False,False,sse,上证指数,25
1061,2008-05-22,2008,True,True,sse,上证指数,25
1098,2008-07-15,2008,True,True,sse,上证指数,25
1110,2008-07-31,2008,False,False,sse,上证指数,25
1112,2008-08-04,2008,True,True,sse,上证指数,25
1207,2008-12-23,2008,True,True,sse,上证指数,25
1247,2009-02-26,2009,True,True,sse,上证指数,25
1288,2009-04-27,2009,True,False,sse,上证指数,25
1359,2009-08-07,2009,True,True,sse,上证指数,25
1391,2009-09-22,2009,True,True,sse,上证指数,25
1433,2009-11-27,2009,False,False,sse,上证指数,25
1446,2009-12-16,2009,True,True,sse,上证指数,25
1461,2010-01-07,2010,True,True,sse,上证指数,25
1470,2010-01-20,2010,True,True,sse,上证指数,25
1502,2010-03-12,2010,True,True,sse,上证指数,25
1511,2010-03-25,2010,False,False,sse,上证指数,25
1527,2010-04-19,2010,True,True,sse,上证指数,25
1615,2010-08-25,2010,True,True,sse,上证指数,25
1631,2010-09-16,2010,True,True,sse,上证指数,25
1664,2010-11-12,2010,True,True,sse,上证指数,25
1690,2010-12-20,2010,False,False,sse,上证指数,25
1693,2010-12-23,2010,True,True,sse,上证指数,25
1745,2011-03-15,2011,False,False,sse,上证指数,25
1747,2011-03-17,2011,True,True,sse,上证指数,25
1757,2011-03-31,2011,False,False,sse,上证指数,25
1772,2011-04-25,2011,True,True,sse,上证指数,25
1835,2011-07-25,2011,True,True,sse,上证指数,25
1913,2011-11-18,2011,True,True,sse,上证指数,25
1952,2012-01-16,2012,False,False,sse,上证指数,25
1989,2012-03-14,2012,True,True,sse,上证指数,25
2027,2012-05-14,2012,True,True,sse,上证指数,25
2091,2012-08-13,2012,True,True,sse,上证指数,25
2116,2012-09-17,2012,True,True,sse,上证指数,25
2140,2012-10-26,2012,True,True,sse,上证指数,25
2149,2012-11-08,2012,True,True,sse,上证指数,25
2216,2013-02-21,2013,True,True,sse,上证指数,25
2239,2013-03-26,2013,True,True,sse,上证指数,25
2286,2013-06-06,2013,True,True,sse,上证指数,25
2313,2013-07-18,2013,True,True,sse,上证指数,25
2320,2013-07-29,2013,True,True,sse,上证指数,25
2370,2013-10-16,2013,True,True,sse,上证指数,25
2413,2013-12-16,2013,True,True,sse,上证指数,25
2458,2014-02-25,2014,True,True,sse,上证指数,25
2482,2014-03-31,2014,False,False,sse,上证指数,25
2496,2014-04-21,2014,False,False,sse,上证指数,25
2498,2014-04-23,2014,True,True,sse,上证指数,25
2525,2014-06-04,2014,False,False,sse,上证指数,25
2527,2014-06-06,2014,False,False,sse,上证指数,25
2536,2014-06-19,2014,True,True,sse,上证指数,25
2550,2014-07-09,2014,True,True,sse,上证指数,25
2586,2014-08-28,2014,False,False,sse,上证指数,25
2618,2014-10-21,2014,True,True,sse,上证指数,25
2680,2015-01-19,2015,True,False,sse,上证指数,25
2689,2015-01-30,2015,True,True,sse,上证指数,25
2751,2015-05-07,2015,True,False,sse,上证指数,25
2758,2015-05-18,2015,False,False,sse,上证指数,25
2781,2015-06-18,2015,True,True,sse,上证指数,25
2823,2015-08-18,2015,True,True,sse,上证指数,25
2889,2015-11-27,2015,True,True,sse,上证指数,25
2910,2015-12-28,2015,False,False,sse,上证指数,25
2914,2016-01-04,2016,True,True,sse,上证指数,25
2947,2016-02-25,2016,True,True,sse,上证指数,25
2957,2016-03-10,2016,True,False,sse,上证指数,25
2985,2016-04-20,2016,True,True,sse,上证指数,25
3020,2016-06-13,2016,True,False,sse,上证指数,25
3029,2016-06-24,2016,False,False,sse,上证指数,25
3053,2016-07-28,2016,True,True,sse,上证指数,25
3085,2016-09-12,2016,True,True,sse,上证指数,25
3139,2016-12-06,2016,False,False,sse,上证指数,25
3143,2016-12-12,2016,True,True,sse,上证指数,25
3164,2017-01-11,2017,True,True,sse,上证指数,25
3200,2017-03-09,2017,True,False,sse,上证指数,25
3214,2017-03-29,2017,True,True,sse,上证指数,25
3224,2017-04-14,2017,True,True,sse,上证指数,25
3287,2017-07-17,2017,False,False,sse,上证指数,25
3306,2017-08-11,2017,True,False,sse,上证指数,25
3309,2017-08-16,2017,False,False,sse,上证指数,25
3336,2017-09-22,2017,True,True,sse,上证指数,25
3361,2017-11-03,2017,False,False,sse,上证指数,25
3371,2017-11-17,2017,True,False,sse,上证指数,25
3375,2017-11-23,2017,True,True,sse,上证指数,25
3427,2018-02-06,2018,True,True,sse,上证指数,25
3454,2018-03-22,2018,True,True,sse,上证指数,25
3497,2018-05-28,2018,True,True,sse,上证指数,25
3544,2018-08-02,2018,True,True,sse,上证指数,25
3585,2018-10-08,2018,True,False,sse,上证指数,25
3588,2018-10-11,2018,True,True,sse,上证指数,25
3609,2018-11-09,2018,False,False,sse,上证指数,25
3619,2018-11-23,2018,True,True,sse,上证指数,25
3628,2018-12-06,2018,True,True,sse,上证指数,25
3699,2019-03-26,2019,False,False,sse,上证指数,25
3701,2019-03-28,2019,False,False,sse,上证指数,25
3720,2019-04-25,2019,True,True,sse,上证指数,25
3752,2019-06-14,2019,True,True,sse,上证指数,25
